alimento,consumo,identifier,entidad,code_upm,est_var,pondef,indicef,nse4f,nse5f,area,region,sexo,edadanos
refresco normal,285,folio_010001__intp_3,01,M0101,15,5627.10107421875,3.310654401779175,4,muy alto,urbano,centro,masculino,19.206022262573242
néctares de frutas o pulpa de frutas industrializados con az,34.28571319580078,folio_010022__intp_5,01,M0101,15,1801.8212890625,1.3779091835021973,3,alto,urbano,centro,femenino,16.309377670288086
refresco normal,825,folio_010022__intp_5,01,M0101,15,1801.8212890625,1.3779091835021973,3,alto,urbano,centro,femenino,16.309377670288086
refresco normal,102.85713958740234,folio_010049__intp_3,01,M0102,15,1395.04248046875,2.720343589782715,4,muy alto,urbano,centro,femenino,16.563997268676758
aguas de fruta natural con azúcar,68.57142639160156,folio_010049__intp_3,01,M0102,15,1395.04248046875,2.720343589782715,4,muy alto,urbano,centro,femenino,16.563997268676758
aguas de fruta natural con azúcar,51.42856979370117,folio_010052__intp_1,01,M0102,15,8713.4560546875,2.3970983028411865,4,muy alto,urbano,centro,masculino,29.89459228515625
aguas de fruta natural con azúcar,377.1428527832031,folio_010053__intp_4,01,M0102,15,1395.04248046875,3.606309652328491,4,muy alto,urbano,centro,femenino,15.652292251586914
refresco normal,514.28570556640625,folio_010053__intp_4,01,M0102,15,1395.04248046875,3.606309652328491,4,muy alto,urbano,centro,femenino,15.652292251586914
néctares de frutas o pulpa de frutas industrializados con az,34.28571319580078,folio_010069__intp_5,01,M0102,15,1395.04248046875,3.310654401779175,4,muy alto,urbano,centro,femenino,17.670087814331055
refresco normal,102.85713958740234,folio_010069__intp_5,01,M0102,15,1395.04248046875,3.310654401779175,4,muy alto,urbano,centro,femenino,17.670087814331055
aguas de fruta natural con azúcar,102.85713958740234,folio_010069__intp_5,01,M0102,15,1395.04248046875,3.310654401779175,4,muy alto,urbano,centro,femenino,17.670087814331055
bebidas o aguas de sabor industrializadas con azúcar (frutsi,34.28571319580078,folio_010085__intp_4,01,M0103,15,5359.16064453125,1.4796172380447388,3,alto,urbano,centro,masculino,18.699520111083984
refresco normal,600,folio_010085__intp_4,01,M0103,15,5359.16064453125,1.4796172380447388,3,alto,urbano,centro,masculino,18.699520111083984
aguas de fruta natural con azúcar,471.4285583496094,folio_010085__intp_4,01,M0103,15,5359.16064453125,1.4796172380447388,3,alto,urbano,centro,masculino,18.699520111083984
aguas de fruta natural con azúcar,240,folio_010121__intp_2,01,M0103,15,8991.09765625,1.7526061534881592,4,muy alto,urbano,centro,femenino,59.89048385620117
refresco normal,205.7142791748047,folio_010129__intp_1,01,M0104,15,8668.1982421875,2.2439732551574707,4,muy alto,urbano,centro,masculino,45.73579788208008
néctares de frutas o pulpa de frutas industrializados con az,102.85713958740234,folio_010135__intp_5,01,M0104,15,4472.39306640625,1.5982134342193604,3,alto,urbano,centro,masculino,20.079397201538086
bebidas o aguas de sabor industrializadas con azúcar (frutsi,514.28570556640625,folio_010135__intp_5,01,M0104,15,4472.39306640625,1.5982134342193604,3,alto,urbano,centro,masculino,20.079397201538086
refresco normal,188.57142639160156,folio_010242__intp_7,01,M0106,15,21521.947265625,3.579718589782715,4,muy alto,urbano,centro,femenino,22.6009578704834
néctares de frutas o pulpa de frutas industrializados con az,34.28571319580078,folio_010248__intp_5,01,M0106,15,4356.72802734375,2.5585310459136963,4,muy alto,urbano,centro,masculino,18.3134822845459
bebidas o aguas de sabor industrializadas con azúcar (frutsi,51.42856979370117,folio_010248__intp_5,01,M0106,15,4356.72802734375,2.5585310459136963,4,muy alto,urbano,centro,masculino,18.3134822845459
refresco normal,480,folio_010248__intp_5,01,M0106,15,4356.72802734375,2.5585310459136963,4,muy alto,urbano,centro,masculino,18.3134822845459
néctares de frutas o pulpa de frutas industrializados con az,34.28571319580078,folio_010270__intp_4,01,M0108,15,1234.5509033203125,2.61171293258667,4,muy alto,urbano,centro,femenino,19.356605529785156
refresco normal,102.85713958740234,folio_010270__intp_4,01,M0108,15,1234.5509033203125,2.61171293258667,4,muy alto,urbano,centro,femenino,19.356605529785156
aguas de fruta natural con azúcar,480,folio_010270__intp_4,01,M0108,15,1234.5509033203125,2.61171293258667,4,muy alto,urbano,centro,femenino,19.356605529785156
refresco normal,68.57142639160156,folio_010271__intp_3,01,M0108,15,1453.0816650390625,1.432358741760254,3,alto,urbano,centro,femenino,13.180012702941895
aguas de fruta natural con azúcar,10.285715103149414,folio_010274__intp_4,01,M0108,15,9876.4072265625,2.371506690979004,4,muy alto,urbano,centro,femenino,25.954824447631836
refresco normal,120,folio_010274__intp_4,01,M0108,15,9876.4072265625,2.371506690979004,4,muy alto,urbano,centro,femenino,25.954824447631836
refresco normal,480,folio_010307__intp_4,01,M0108,15,1927.755615234375,-0.25349143147468567,2,medio,urbano,centro,masculino,18.611909866333008
refresco normal,205.7142791748047,folio_010320__intp_2,01,M0109,15,8527.0146484375,-1.4098089933395386,1,bajo,urbano,centro,femenino,32.824092864990234
refresco normal,205.7142791748047,folio_010336__intp_4,01,M0109,15,2541.271484375,1.3503189086914062,3,alto,urbano,centro,masculino,15.134839057922363
aguas de fruta natural con azúcar,34.28571319580078,folio_010336__intp_4,01,M0109,15,2541.271484375,1.3503189086914062,3,alto,urbano,centro,masculino,15.134839057922363
bebidas o aguas de sabor industrializadas con azúcar (frutsi,102.85713958740234,folio_010345__intp_1,01,M0109,15,7244.62548828125,2.0758514404296875,4,muy alto,urbano,centro,femenino,68.6954116821289
aguas de fruta natural con azúcar,480,folio_010345__intp_1,01,M0109,15,7244.62548828125,2.0758514404296875,4,muy alto,urbano,centro,femenino,68.6954116821289
refresco normal,720,folio_010345__intp_1,01,M0109,15,7244.62548828125,2.0758514404296875,4,muy alto,urbano,centro,femenino,68.6954116821289
aguas de fruta natural con azúcar,205.7142791748047,folio_010357__intp_3,01,M0110,15,3852.24951171875,2.692753314971924,4,muy alto,urbano,centro,masculino,13.793292045593262
